"DormID","RoomTemp","Range"
1,61,"Out of range"
2,72.9,"In range"
3,67,"In range"
4,64.2,"Out of range"
5,62.2,"Out of range"
6,70.4,"In range"
7,62.7,"Out of range"
8,62.3,"Out of range"
9,62.2,"Out of range"
10,64.2,"Out of range"
11,59.9,"Out of range"
12,63.3,"Out of range"
13,66,"Out of range"
14,62.7,"Out of range"
15,59.8,"Out of range"
16,59.3,"Out of range"
17,66.4,"Out of range"
18,71,"In range"
19,66.7,"Out of range"
20,56.5,"Out of range"
21,60.7,"Out of range"
22,63,"Out of range"
23,60.3,"Out of range"
24,58.8,"Out of range"
25,60.8,"Out of range"
26,65.2,"Out of range"
27,64,"Out of range"
28,59.4,"Out of range"
29,66.3,"Out of range"
30,56.8,"Out of range"
31,65.2,"Out of range"
32,57.9,"Out of range"
33,65.6,"Out of range"
34,60.9,"Out of range"
35,58.9,"Out of range"
36,59.8,"Out of range"
37,63.2,"Out of range"
38,66.8,"Out of range"
39,58.5,"Out of range"
40,62.2,"Out of range"
41,62.1,"Out of range"
42,65.2,"Out of range"
43,66,"Out of range"
44,70.7,"In range"
45,67,"In range"
46,76,"Out of range"
47,62.4,"Out of range"
48,64.3,"Out of range"
49,58.3,"Out of range"
50,67.3,"In range"
51,59,"Out of range"
52,65.1,"Out of range"
53,57,"Out of range"
54,64.8,"Out of range"
55,68.7,"In range"
56,62.7,"Out of range"
57,69.4,"In range"
58,59.6,"Out of range"
59,67.2,"In range"
60,61.8,"Out of range"
61,59.8,"Out of range"
62,68.7,"In range"
63,62.4,"Out of range"
64,62.5,"Out of range"
65,59.5,"Out of range"
66,69.9,"In range"
67,63.6,"Out of range"
68,71.4,"In range"
69,61.8,"Out of range"
70,60.4,"Out of range"
71,61,"Out of range"
72,62.2,"Out of range"
73,61.3,"Out of range"
74,61.4,"Out of range"
75,64.4,"Out of range"
76,61.1,"Out of range"
77,59.7,"Out of range"
78,63.9,"Out of range"
79,71.5,"In range"
80,66.6,"Out of range"
81,67.4,"In range"
82,64.4,"Out of range"
83,60.5,"Out of range"
84,65.6,"Out of range"
85,69.7,"In range"
86,56.9,"Out of range"
87,65.4,"Out of range"
88,58,"Out of range"
89,57.9,"Out of range"
90,58.1,"Out of range"
91,65.5,"Out of range"
92,63,"Out of range"
93,64.8,"Out of range"
94,62.2,"Out of range"
95,64.7,"Out of range"
96,62.7,"Out of range"
97,61.7,"Out of range"
98,61.4,"Out of range"
99,61,"Out of range"
100,59.9,"Out of range"
101,56.2,"Out of range"
102,59.8,"Out of range"
103,57.4,"Out of range"
104,65.1,"Out of range"
105,61.4,"Out of range"
106,61.9,"Out of range"
107,63.5,"Out of range"
108,66.1,"Out of range"
109,59.5,"Out of range"
110,58.4,"Out of range"
111,62.4,"Out of range"
112,56.3,"Out of range"
113,57.7,"Out of range"
114,60.8,"Out of range"
115,53,"Out of range"
116,67.7,"In range"
117,66.2,"Out of range"
118,69.4,"In range"
119,63.3,"Out of range"
120,67.1,"In range"
121,60.3,"Out of range"
122,61.6,"Out of range"
123,61.3,"Out of range"
124,55.2,"Out of range"
125,59.6,"Out of range"
126,60,"Out of range"
127,57.3,"Out of range"
128,67.5,"In range"
129,63.7,"Out of range"
130,61.1,"Out of range"
131,60.9,"Out of range"
132,59.3,"Out of range"
133,54.3,"Out of range"
134,61.3,"Out of range"
135,67.9,"In range"
136,65,"Out of range"
137,59.9,"Out of range"
138,66.1,"Out of range"
139,57.4,"Out of range"
140,70.3,"In range"
141,69.4,"In range"
142,63.6,"Out of range"
143,63.7,"Out of range"
144,57.8,"Out of range"
145,67.3,"In range"
146,61.4,"Out of range"
147,62.8,"Out of range"
148,56.4,"Out of range"
149,60.7,"Out of range"
150,59.7,"Out of range"
151,59.9,"Out of range"
152,61.5,"Out of range"
153,65.2,"Out of range"
154,69.6,"In range"
155,62.6,"Out of range"
156,63.7,"Out of range"
157,63.3,"Out of range"
158,64.9,"Out of range"
159,58,"Out of range"
160,62.4,"Out of range"
161,60.3,"Out of range"
162,60.8,"Out of range"
163,64.5,"Out of range"
164,61.6,"Out of range"
165,61.9,"Out of range"
166,59.7,"Out of range"
167,66.2,"Out of range"
168,61.1,"Out of range"
169,62.9,"Out of range"
170,60.5,"Out of range"
171,54.6,"Out of range"
172,64.2,"Out of range"
173,58.6,"Out of range"
174,63.2,"Out of range"
175,67.9,"In range"
